Symbol,Side,EntryTime,PeakTime,ExitTime,Leverage,EntryPrice,ExitPrice,PnL,PnL%,PeakROI,Reason
ETH/USDT,buy,2020-01-26 20:00:00+00:00,2020-02-05 20:00:00+00:00,2020-02-05 20:00:00+00:00,100,166.23,207.7875,36.90465852222571,2488.7500000000005,2500.0,HalfTP10%
ETH/USDT,buy,2020-01-26 20:00:00+00:00,2020-02-07 08:00:00+00:00,2020-02-08 00:00:00+00:00,100,166.23,217.56,106.4417311174751,3076.346327377732,3557.119653492151,RevHigh
ETH/USDT,buy,2020-02-08 12:00:00+00:00,2020-02-09 04:00:00+00:00,2020-02-10 08:00:00+00:00,100,226.57,219.91986,-11.817284815536823,-303.36694752173605,191.11091494902294,SL
ETH/USDT,buy,2020-02-11 16:00:00+00:00,2020-02-14 20:00:00+00:00,2020-02-14 20:00:00+00:00,100,229.45,286.8125,23.780321432040882,2488.75,2500.0,HalfTP10%
ETH/USDT,buy,2020-02-11 16:00:00+00:00,2020-02-15 00:00:00+00:00,2020-02-16 16:00:00+00:00,100,229.45,245.5115,15.375950541335891,689.6500000000008,2595.3366746567885,SL
ETH/USDT,buy,2020-02-18 08:00:00+00:00,2020-02-18 08:00:00+00:00,2020-02-18 08:00:00+00:00,100,268.93,265.77396000000005,-12.698555563402193,-127.29676793217433,8.924255382441865,SL
BTC/USDT,buy,2020-01-26 20:00:00+00:00,2020-02-13 12:00:00+00:00,2020-02-19 20:00:00+00:00,125,8565.33,9593.31,82.98520780902646,1486.9547933354581,2881.777468001817,TrendExit
BTC/USDT,sell,2020-02-20 00:00:00+00:00,2020-02-20 16:00:00+00:00,2020-02-23 00:00:00+00:00,125,9593.31,9793.8,-4.127707688969941,-273.86735521941733,274.56633841708356,TrendExit
BTC/USDT,sell,2020-02-24 08:00:00+00:00,2020-02-24 08:00:00+00:00,2020-02-24 08:00:00+00:00,125,9756.86,9796.30652,-15.433887639914042,-63.062172743074385,70.28388231459785,SL
BTC/USDT,buy,2020-02-24 12:00:00+00:00,2020-02-24 12:00:00+00:00,2020-02-24 12:00:00+00:00,125,9816.21,9710.32,-8.947421715762966,-147.27331755331107,40.736190444175506,TrendExit
ZEC/USDT,sell,2020-03-03 08:00:00+00:00,2020-03-04 16:00:00+00:00,2020-03-05 08:00:00+00:00,50,50.71,52.322269999999996,-12.512042949155362,-164.04911605206007,173.53579175704968,SL
ETH/USDT,sell,2020-03-03 16:00:00+00:00,2020-03-03 16:00:00+00:00,2020-03-05 08:00:00+00:00,100,224.84,232.90266999999997,-12.468806463794632,-368.77518835616263,205.92421277352764,SL
BNB/USDT,sell,2020-03-08 00:00:00+00:00,2020-03-09 04:00:00+00:00,2020-03-09 04:00:00+00:00,20,20.27,17.203,1785.7713532859655,300.7660088801183,395.55994079921066,RevLow
BTC/USDT,sell,2020-02-24 16:00:00+00:00,2020-03-09 12:00:00+00:00,2020-03-09 16:00:00+00:00,125,9710.32,7847.45,152.17249636918334,2386.7533652341026,2671.268815033902,RevLow
ZEC/USDT,sell,2020-03-07 20:00:00+00:00,2020-03-11 16:00:00+00:00,2020-03-11 16:00:00+00:00,50,51.05,38.287499999999994,20.848158804163965,1245.6250000000007,1250.0,HalfTP10%
ETH/USDT,sell,2020-03-08 04:00:00+00:00,2020-03-12 04:00:00+00:00,2020-03-12 04:00:00+00:00,100,231.86,173.895,23.382346572720255,2491.25,2500.0,HalfTP10%
BTC/USDT,sell,2020-03-10 16:00:00+00:00,2020-03-12 08:00:00+00:00,2020-03-12 08:00:00+00:00,125,7773.39,5830.0425000000005,46.4297919229166,3114.0624999999995,3125.0,HalfTP10%
BNB/USDT,sell,2020-03-11 08:00:00+00:00,2020-03-12 08:00:00+00:00,2020-03-12 08:00:00+00:00,50,16.666,12.499500000000001,130.22174599416257,1245.625,1250.0,HalfTP10%
ETH/USDT,sell,2020-03-08 04:00:00+00:00,2020-03-13 00:00:00+00:00,2020-03-13 00:00:00+00:00,100,231.86,215.6298,15.11878517415515,690.3500000000003,6367.204347451047,SL
ETH/USDT,sell,2020-03-21 12:00:00+00:00,2020-03-21 12:00:00+00:00,2020-03-21 12:00:00+00:00,100,130.47,133.52338999999998,-35.06739831665718,-244.14706024373203,54.418640300452815,SL
ETH/USDT,sell,2020-03-22 12:00:00+00:00,2020-03-23 00:00:00+00:00,2020-03-23 12:00:00+00:00,100,131.0,135.54540999999998,-34.23889240735988,-357.1513515267165,916.030534351145,SL
BTC/USDT,sell,2020-03-10 16:00:00+00:00,2020-03-13 00:00:00+00:00,2020-03-30 20:00:00+00:00,125,7773.39,6389.52,77.02168183822326,2213.9448570700806,6675.94833142297,TrendExit
BNB/USDT,sell,2020-03-11 08:00:00+00:00,2020-03-13 00:00:00+00:00,2020-03-31 04:00:00+00:00,50,16.666,12.57,298.6887427941901,1224.4635785431421,3129.1251650065997,TrendExit
ZEC/USDT,sell,2020-03-07 20:00:00+00:00,2020-03-13 00:00:00+00:00,2020-04-01 20:00:00+00:00,50,51.05,31.3,75.38625461015184,1930.3452497551418,3343.780607247796,TrendExit
ZEC/USDT,buy,2020-04-02 00:00:00+00:00,2020-04-09 04:00:00+00:00,2020-04-09 04:00:00+00:00,50,31.3,39.125,57.55758966322115,1244.3750000000002,1250.0,HalfTP10%
ETH/USDT,buy,2020-04-08 04:00:00+00:00,2020-04-08 04:00:00+00:00,2020-04-10 00:00:00+00:00,100,172.24,162.98685,-38.11022620938299,-546.9556099047851,136.43752902926116,SL
BNB/USDT,buy,2020-04-12 20:00:00+00:00,2020-04-12 20:00:00+00:00,2020-04-12 20:00:00+00:00,50,14.729,14.379606,-39.19401573193922,-123.54820524136005,19.349582456378702,SL
BTC/USDT,buy,2020-04-12 20:00:00+00:00,2020-04-12 20:00:00+00:00,2020-04-12 20:00:00+00:00,125,7108.63,6945.28776,-39.24533864046687,-299.5816333104972,71.44484942949644,SL
BTC/USDT,buy,2020-04-16 16:00:00+00:00,2020-04-18 20:00:00+00:00,2020-04-20 12:00:00+00:00,125,7041.51,6918.075,-38.92554542692976,-231.51069958716323,441.11632306138836,SL
ETH/USDT,buy,2020-04-16 12:00:00+00:00,2020-04-29 16:00:00+00:00,2020-04-29 16:00:00+00:00,100,170.12,212.65,31.020821203718352,2488.7499999999986,2500.0,HalfTP10%
BTC/USDT,buy,2020-04-22 16:00:00+00:00,2020-04-29 16:00:00+00:00,2020-04-29 16:00:00+00:00,125,7105.7,8882.125,101.45410236195009,3110.9374999999995,3125.0,HalfTP10%
ZEC/USDT,buy,2020-04-02 00:00:00+00:00,2020-04-30 00:00:00+00:00,2020-05-06 20:00:00+00:00,50,31.3,42.27,188.49579310040747,1746.519968051118,2833.865814696485,TrendExit
BNB/USDT,buy,2020-04-13 12:00:00+00:00,2020-04-30 00:00:00+00:00,2020-05-10 00:00:00+00:00,50,14.703,13.752234,-37.39357358759477,-328.1621495613141,1167.7888866217781,SL
ETH/USDT,buy,2020-04-16 12:00:00+00:00,2020-04-30 04:00:00+00:00,2020-05-10 00:00:00+00:00,100,170.12,182.0284,20.057534291245368,689.6500000000005,3372.913237714554,SL
ZEC/USDT,buy,2020-05-08 20:00:00+00:00,2020-05-09 00:00:00+00:00,2020-05-10 00:00:00+00:00,50,45.78,44.02593,-40.67804157562847,-196.48022771952807,197.68457841852364,SL
ETH/USDT,sell,2020-05-10 04:00:00+00:00,2020-05-11 16:00:00+00:00,2020-05-13 12:00:00+00:00,100,185.95,198.14,-18.46188693828615,-665.880344178544,561.9790266200586,TrendExit
ETH/USDT,sell,2020-05-15 20:00:00+00:00,2020-05-15 20:00:00+00:00,2020-05-16 04:00:00+00:00,100,194.6,199.83963999999997,-40.362061340746706,-279.3864244604305,174.20349434737852,SL
ZEC/USDT,sell,2020-05-10 04:00:00+00:00,2020-05-11 16:00:00+00:00,2020-05-17 00:00:00+00:00,50,41.33,44.78,-32.53919530104615,-422.58105492378456,424.6310186305346,TrendExit
BNB/USDT,sell,2020-05-15 20:00:00+00:00,2020-05-15 20:00:00+00:00,2020-05-17 04:00:00+00:00,50,15.913,16.231215,-40.862565645807756,-105.03585354741354,116.57135675234099,SL
BTC/USDT,buy,2020-04-22 16:00:00+00:00,2020-05-07 20:00:00+00:00,2020-05-21 12:00:00+00:00,125,7105.7,9081.89,263.4538691312634,3462.1786118890454,5232.243128755787,TrendExit
BNB/USDT,sell,2020-05-21 16:00:00+00:00,2020-05-21 16:00:00+00:00,2020-05-22 08:00:00+00:00,50,16.15,16.640623999999995,-41.744730103606756,-156.97192321981345,129.41176470588215,SL
BNB/USDT,buy,2020-05-22 16:00:00+00:00,2020-05-22 16:00:00+00:00,2020-05-23 08:00:00+00:00,50,16.694,16.501,-20.422038972155462,-62.77629687312781,68.88702527854332,TrendExit
ETH/USDT,buy,2020-05-22 20:00:00+00:00,2020-05-23 00:00:00+00:00,2020-05-24 16:00:00+00:00,100,207.57,202.48731,-41.59003027675892,-254.7438770053464,174.88076311605704,SL
ETH/USDT,sell,2020-05-25 00:00:00+00:00,2020-05-25 00:00:00+00:00,2020-05-25 04:00:00+00:00,100,199.7,204.1,-21.36339861200522,-230.44066099148716,99.14872308462645,TrendExit
ZEC/USDT,buy,2020-05-17 04:00:00+00:00,2020-05-20 00:00:00+00:00,2020-05-26 12:00:00+00:00,50,44.78,44.3,-8.583587287877764,-58.56855739169258,638.6779812416256,TrendExit
ETH/USDT,buy,2020-05-27 16:00:00+00:00,2020-05-28 00:00:00+00:00,2020-05-28 04:00:00+00:00,100,205.98,204.84495,-46.12618359007601,-65.07731211768015,146.61617632779934,SL
ETH/USDT,buy,2020-06-01 04:00:00+00:00,2020-06-02 08:00:00+00:00,2020-06-02 12:00:00+00:00,100,238.79,229.31045999999998,-39.54949547563584,-406.78379454751064,657.0626910674652,SL
BNB/USDT,buy,2020-06-02 00:00:00+00:00,2020-06-02 08:00:00+00:00,2020-06-02 12:00:00+00:00,50,17.968,17.391591,-39.78039039428264,-165.31856508793493,72.35084594835305,SL
ETH/USDT,buy,2020-06-03 16:00:00+00:00,2020-06-04 00:00:00+00:00,2020-06-04 08:00:00+00:00,100,239.34,236.763,-41.29533772238928,-117.61725996490281,307.51232556196146,SL
BNB/USDT,buy,2020-06-04 00:00:00+00:00,2020-06-04 00:00:00+00:00,2020-06-04 08:00:00+00:00,50,17.573,17.339643,-40.631126461556796,-71.36326224890544,24.18482899903285,SL
BTC/USDT,buy,2020-06-04 16:00:00+00:00,2020-06-04 16:00:00+00:00,2020-06-07 12:00:00+00:00,125,9828.11,9430.56,-37.87979643560713,-517.8759382526258,71.08436922256594,SL
ETH/USDT,buy,2020-06-07 20:00:00+00:00,2020-06-10 16:00:00+00:00,2020-06-11 16:00:00+00:00,100,242.39,234.99477,-37.78667215252606,-314.9437841907679,355.21267379017337,SL
BTC/USDT,buy,2020-06-08 00:00:00+00:00,2020-06-10 16:00:00+00:00,2020-06-11 16:00:00+00:00,125,9743.92,9501.489,-38.058136804609546,-323.3474111291981,349.0253409305492,SL
ZEC/USDT,buy,2020-05-28 00:00:00+00:00,2020-05-30 20:00:00+00:00,2020-06-11 20:00:00+00:00,50,46.19,49.65,159.52640917182978,369.3526737389044,1105.217579562676,TrendExit
BTC/USDT,buy,2020-06-16 04:00:00+00:00,2020-06-16 12:00:00+00:00,2020-06-16 12:00:00+00:00,125,9559.87,9449.16,-22.591205775597388,-157.18638825632775,36.781357905493486,TrendExit
ETH/USDT,buy,2020-06-16 12:00:00+00:00,2020-06-16 12:00:00+00:00,2020-06-16 12:00:00+00:00,100,234.49,231.65811,-40.5236020233819,-130.70766578532286,64.39507015224491,SL
ZEC/USDT,buy,2020-06-16 04:00:00+00:00,2020-06-16 04:00:00+00:00,2020-06-17 20:00:00+00:00,50,53.0,51.72822,-38.98363192945833,-124.91925566037744,94.33962264150945,SL
ETH/USDT,sell,2020-06-17 20:00:00+00:00,2020-06-17 20:00:00+00:00,2020-06-17 20:00:00+00:00,100,229.37,233.44321,-38.902144324847676,-187.67129986484687,82.83559314644485,SL
BTC/USDT,sell,2020-06-17 20:00:00+00:00,2020-06-17 20:00:00+00:00,2020-06-17 20:00:00+00:00,125,9290.84,9444.435,-39.055916368300636,-219.25175428163587,80.46904262693077,SL
ETH/USDT,buy,2020-06-18 00:00:00+00:00,2020-06-18 00:00:00+00:00,2020-06-18 04:00:00+00:00,100,233.73,233.48,-2.656871791747288,-20.69075428913646,41.50087708039186,TrendExit
BTC/USDT,sell,2020-06-19 04:00:00+00:00,2020-06-19 04:00:00+00:00,2020-06-19 08:00:00+00:00,125,9268.73,9419.41,-37.82343915467318,-215.81175360594222,19.366191484700124,SL
BTC/USDT,sell,2020-06-21 20:00:00+00:00,2020-06-22 00:00:00+00:00,2020-06-22 04:00:00+00:00,125,9347.82,9396.17679,-42.06582055175746,-77.195523120631,100.05006514887924,SL
ZEC/USDT,buy,2020-06-22 12:00:00+00:00,2020-06-23 16:00:00+00:00,2020-06-27 16:00:00+00:00,50,52.78,51.848099999999995,-36.7704369566539,-93.23740526714695,826.070481242895,SL
ETH/USDT,sell,2020-06-30 16:00:00+00:00,2020-07-01 00:00:00+00:00,2020-07-01 08:00:00+00:00,100,226.39,228.07784999999996,-39.086012556704084,-84.59224899509431,105.1283183886212,SL
ETH/USDT,sell,2020-07-02 16:00:00+00:00,2020-07-02 16:00:00+00:00,2020-07-06 04:00:00+00:00,100,225.1,231.67143999999996,-35.24104992709062,-302.08021856952354,103.95379831186153,SL
BTC/USDT,sell,2020-06-24 12:00:00+00:00,2020-06-27 16:00:00+00:00,2020-07-06 12:00:00+00:00,125,9337.27,9302.99,2.5438487749582777,33.4143036454994,697.2996389737052,TrendExit
BNB/USDT,sell,2020-06-24 12:00:00+00:00,2020-06-27 16:00:00+00:00,2020-07-06 20:00:00+00:00,50,16.072,16.322,-16.414416200755884,-82.81389995022421,426.51816824290654,TrendExit
BTC/USDT,sell,2020-07-09 20:00:00+00:00,2020-07-10 04:00:00+00:00,2020-07-10 20:00:00+00:00,125,9220.96,9307.40811,-37.16341377175416,-129.74827736889864,134.93714320417703,SL
BTC/USDT,buy,2020-07-13 12:00:00+00:00,2020-07-13 12:00:00+00:00,2020-07-13 16:00:00+00:00,125,9308.93,9246.58416,-38.13439442669656,-96.17592607313641,48.43467509155148,SL
BTC/USDT,sell,2020-07-13 20:00:00+00:00,2020-07-13 20:00:00+00:00,2020-07-13 20:00:00+00:00,125,9233.39,9241.18,-5.764712685995158,-23.051237140423293,26.831965291187355,TrendExit
ETH/USDT,buy,2020-07-06 08:00:00+00:00,2020-07-08 16:00:00+00:00,2020-07-16 04:00:00+00:00,100,232.84,232.54,-3.196168298588004,-22.877941934375578,694.0388249441675,TrendExit
BNB/USDT,buy,2020-07-11 00:00:00+00:00,2020-07-13 12:00:00+00:00,2020-07-16 04:00:00+00:00,50,17.327,16.955028000000002,-34.72431704556724,-112.28516592601156,502.68367288047466,SL
ETH/USDT,buy,2020-07-20 00:00:00+00:00,2020-07-20 00:00:00+00:00,2020-07-20 16:00:00+00:00,100,239.18,234.5652,-34.03831084581926,-202.84608244836573,26.339994982857906,SL
ETH/USDT,buy,2020-07-21 04:00:00+00:00,2020-07-25 16:00:00+00:00,2020-07-25 16:00:00+00:00,100,237.12,296.4,308.99464773139215,2488.7499999999986,2500.0,HalfTP10%
ZEC/USDT,buy,2020-07-06 12:00:00+00:00,2020-07-26 08:00:00+00:00,2020-07-26 08:00:00+00:00,50,53.58,66.975,161.90446714967302,1244.3749999999995,1250.0,HalfTP10%
BTC/USDT,buy,2020-07-21 08:00:00+00:00,2020-08-01 04:00:00+00:00,2020-08-01 04:00:00+00:00,125,9315.0,11643.75,140.0099693096272,3110.9375000000023,3125.0,HalfTP10%
BNB/USDT,buy,2020-07-19 08:00:00+00:00,2020-08-02 00:00:00+00:00,2020-08-02 00:00:00+00:00,50,17.773,22.21625,46.75608303864606,1244.3749999999998,1250.0,HalfTP10%
BNB/USDT,buy,2020-07-19 08:00:00+00:00,2020-08-02 00:00:00+00:00,2020-08-02 04:00:00+00:00,50,17.773,19.017110000000002,30.231686411949305,344.82500000000107,1259.494739211163,SL
DOGE/USDT,buy,2020-08-11 04:00:00+00:00,2020-08-11 04:00:00+00:00,2020-08-11 08:00:00+00:00,50,0.003558,0.003469527,-40.460584893820915,-129.2675147554803,42.1585160202362,SL
BNB/USDT,buy,2020-08-03 08:00:00+00:00,2020-08-05 08:00:00+00:00,2020-08-11 16:00:00+00:00,50,21.602,20.852127,-40.01663757811709,-178.47885924914354,450.88417739098236,SL
DOGE/USDT,buy,2020-08-14 12:00:00+00:00,2020-08-15 00:00:00+00:00,2020-08-16 12:00:00+00:00,50,0.003517,0.00345654,-40.30812184633178,-90.91096104634595,170.59994313335213,SL
ZEC/USDT,buy,2020-07-06 12:00:00+00:00,2020-08-06 16:00:00+00:00,2020-08-18 12:00:00+00:00,50,53.58,83.36,841.7374522282133,2772.6325121313926,4611.795446061964,TrendExit
ZEC/USDT,sell,2020-08-19 00:00:00+00:00,2020-08-19 00:00:00+00:00,2020-08-19 00:00:00+00:00,50,83.31,84.63454999999999,-49.04872079655416,-84.53500630176404,270.6757892209822,SL
ETH/USDT,buy,2020-07-21 04:00:00+00:00,2020-08-17 16:00:00+00:00,2020-08-21 20:00:00+00:00,100,237.12,388.27,1842.837525175667,6361.2223768556,8935.560053981106,TrendExit
BTC/USDT,buy,2020-07-21 08:00:00+00:00,2020-08-17 16:00:00+00:00,2020-08-21 20:00:00+00:00,125,9315.0,11538.53,311.8697746342285,2969.811104401504,4273.242082662373,TrendExit
BNB/USDT,buy,2020-08-14 12:00:00+00:00,2020-08-17 16:00:00+00:00,2020-08-21 20:00:00+00:00,50,22.708,22.122,-15.922058229626792,-133.9649022370965,302.31636427690705,TrendExit
ETH/USDT,buy,2020-08-24 12:00:00+00:00,2020-08-24 20:00:00+00:00,2020-08-25 00:00:00+00:00,100,407.19,401.69,-35.03158916291236,-145.00454333358022,86.20054520002924,TrendExit
BNB/USDT,sell,2020-08-25 16:00:00+00:00,2020-08-25 16:00:00+00:00,2020-08-27 08:00:00+00:00,50,21.717,22.535512999999998,-68.47390305592283,-193.544056844868,165.07804945434424,SL
ETH/USDT,sell,2020-08-25 08:00:00+00:00,2020-08-25 16:00:00+00:00,2020-08-29 04:00:00+00:00,100,395.71,403.80339999999995,-69.96472476697078,-214.63083318591845,646.1802835409768,SL
ZEC/USDT,sell,2020-08-25 12:00:00+00:00,2020-08-27 16:00:00+00:00,2020-08-29 16:00:00+00:00,50,78.21,79.75968,-70.06976981665713,-104.12126582278547,492.9037207518216,SL
BTC/USDT,sell,2020-08-25 04:00:00+00:00,2020-08-25 16:00:00+00:00,2020-08-30 20:00:00+00:00,125,11675.08,11714.13,-26.700536231448257,-54.330039922638065,583.5934314796986,TrendExit
ZEC/USDT,sell,2020-09-02 16:00:00+00:00,2020-09-03 20:00:00+00:00,2020-09-03 20:00:00+00:00,50,74.23,55.6725,66.70335706527631,1245.6250000000007,1250.0,HalfTP10%
BTC/USDT,sell,2020-09-02 12:00:00+00:00,2020-09-03 20:00:00+00:00,2020-09-04 04:00:00+00:00,125,11417.5,10295.78,174.56044436765293,1216.1849791985987,1660.1051018173855,RevLow
BNB/USDT,sell,2020-09-03 16:00:00+00:00,2020-09-05 16:00:00+00:00,2020-09-06 16:00:00+00:00,50,22.334,23.19,-22.71038392495106,-196.73188860034068,994.8956747559771,TrendExit
ETH/USDT,sell,2020-09-16 04:00:00+00:00,2020-09-16 04:00:00+00:00,2020-09-16 04:00:00+00:00,100,359.33,365.55519,-70.37711668532371,-183.33099365485782,18.92410875796641,SL
BTC/USDT,sell,2020-09-17 16:00:00+00:00,2020-09-17 16:00:00+00:00,2020-09-17 16:00:00+00:00,125,10833.0,10890.88,-78.14976639206301,-79.32006369426635,47.51684667220563,SL
BTC/USDT,buy,2020-09-17 20:00:00+00:00,2020-09-19 12:00:00+00:00,2020-09-20 16:00:00+00:00,125,10910.57,10781.02818,-70.46353174172398,-160.83900645200112,305.24298913805643,SL
ETH/USDT,sell,2020-09-20 20:00:00+00:00,2020-09-20 20:00:00+00:00,2020-09-21 00:00:00+00:00,100,370.92,373.57319999999993,-73.3386400263092,-81.56601423487322,141.00075487975894,SL
BTC/USDT,buy,2020-09-21 04:00:00+00:00,2020-09-21 04:00:00+00:00,2020-09-21 08:00:00+00:00,125,10955.01,10857.86127,-70.71980241845009,-123.29423436742759,29.30166197931391,SL
BTC/USDT,sell,2020-09-21 12:00:00+00:00,2020-09-23 20:00:00+00:00,2020-09-24 16:00:00+00:00,125,10634.48,10644.57,-4.018525710827391,-24.36593632222838,590.3791252604741,TrendExit
ZEC/USDT,sell,2020-09-02 16:00:00+00:00,2020-09-23 20:00:00+00:00,2020-09-29 16:00:00+00:00,50,74.23,59.77,121.13761815703647,969.4867304324392,1609.1876599757509,TrendExit
BTC/USDT,buy,2020-09-24 20:00:00+00:00,2020-09-28 00:00:00+00:00,2020-10-01 16:00:00+00:00,125,10644.57,10611.0,-10.306873691689384,-51.901797113458,445.5675522825255,TrendExit
BTC/USDT,sell,2020-10-01 20:00:00+00:00,2020-10-01 20:00:00+00:00,2020-10-02 00:00:00+00:00,125,10611.0,10642.02,-9.594712750899038,-49.06053859202619,57.72311751955517,TrendExit
ZEC/USDT,buy,2020-10-03 04:00:00+00:00,2020-10-03 04:00:00+00:00,2020-10-03 04:00:00+00:00,50,63.73,62.76717,-68.04086154770745,-80.50200729640605,12.55295779067972,SL
ETH/USDT,sell,2020-10-02 08:00:00+00:00,2020-10-02 08:00:00+00:00,2020-10-05 00:00:00+00:00,100,342.16,354.69433999999995,-65.62154949050077,-376.51295212765666,238.19265840542533,SL
BNB/USDT,buy,2020-10-03 20:00:00+00:00,2020-10-05 00:00:00+00:00,2020-10-06 12:00:00+00:00,50,28.006,27.587384999999998,-67.36068533446728,-79.6992952403057,210.49060915518078,SL
ETH/USDT,sell,2020-10-06 12:00:00+00:00,2020-10-06 12:00:00+00:00,2020-10-06 12:00:00+00:00,100,346.0,353.7433899999999,-65.33453772166388,-233.9092975433501,152.8901734104052,SL
BTC/USDT,sell,2020-10-06 20:00:00+00:00,2020-10-06 20:00:00+00:00,2020-10-08 12:00:00+00:00,125,10565.0,10763.752999999999,-64.46604417715402,-247.77257039753908,64.29247515380993,SL
DOGE/USDT,sell,2020-08-31 08:00:00+00:00,2020-09-24 00:00:00+00:00,2020-10-10 00:00:00+00:00,50,0.003258,0.002684,1103.3500487224217,876.3489871086553,1132.596685082873,TrendExit
ETH/USDT,buy,2020-10-12 16:00:00+00:00,2020-10-12 20:00:00+00:00,2020-10-16 04:00:00+00:00,100,385.85,365.17446,-72.87191508194277,-545.5760588311522,248.2830115329787,SL
ZEC/USDT,buy,2020-10-09 16:00:00+00:00,2020-10-12 12:00:00+00:00,2020-10-16 08:00:00+00:00,50,64.92,62.277660000000004,-61.99562250476281,-208.4056400184839,839.4947627849655,SL
AVAX/USDT,buy,2020-10-17 16:00:00+00:00,2020-10-17 16:00:00+00:00,2020-10-17 16:00:00+00:00,50,4.1184,4.0343616,-73.62960324122511,-106.97695804195814,2.5495337995332488,SL
AVAX/USDT,sell,2020-10-17 20:00:00+00:00,2020-10-17 20:00:00+00:00,2020-10-17 20:00:00+00:00,50,4.0678,4.155150999999999,-72.75768895807936,-112.42253244997158,9.710408574659816,SL
AVAX/USDT,buy,2020-10-18 00:00:00+00:00,2020-10-18 08:00:00+00:00,2020-10-18 16:00:00+00:00,50,4.1927,4.0859,-53.698518541782555,-132.30054618742196,64.03987883702635,TrendExit
