Symbol,Side,EntryTime,PeakTime,ExitTime,Leverage,EntryPrice,ExitPrice,PnL,PnL%,PeakROI,Reason
ETH/USDT,buy,2020-01-26 20:00:00+00:00,2020-02-05 20:00:00+00:00,2020-02-05 20:00:00+00:00,100,166.23,207.7875,46.13082315278213,2488.7500000000005,2500.0,HalfTP10%
ETH/USDT,buy,2020-01-26 20:00:00+00:00,2020-02-07 08:00:00+00:00,2020-02-08 00:00:00+00:00,100,166.23,217.56,131.49516172915574,3040.3463273777306,3557.119653492151,RevHigh
ETH/USDT,buy,2020-02-08 12:00:00+00:00,2020-02-09 04:00:00+00:00,2020-02-10 08:00:00+00:00,100,226.57,219.91986,-15.465245952268058,-308.36694752173696,191.1109149490229,SL
ETH/USDT,buy,2020-02-11 16:00:00+00:00,2020-02-14 20:00:00+00:00,2020-02-14 20:00:00+00:00,100,229.45,286.8125,30.530098396961204,2488.7500000000023,2500.0,HalfTP10%
ETH/USDT,buy,2020-02-11 16:00:00+00:00,2020-02-15 00:00:00+00:00,2020-02-16 16:00:00+00:00,100,229.45,245.5115,19.310887819798324,674.650000000001,2595.3366746567885,SL
ETH/USDT,buy,2020-02-18 08:00:00+00:00,2020-02-18 08:00:00+00:00,2020-02-18 08:00:00+00:00,100,268.93,265.77396000000005,-16.43339828397486,-127.29676793217506,8.924255382441865,SL
ZEC/USDT,sell,2020-03-03 08:00:00+00:00,2020-03-04 16:00:00+00:00,2020-03-05 08:00:00+00:00,50,50.71,52.322269999999996,-15.704149798048833,-167.04911605206007,173.53579175704968,SL
ETH/USDT,sell,2020-03-03 16:00:00+00:00,2020-03-03 16:00:00+00:00,2020-03-05 08:00:00+00:00,100,224.84,232.90266999999997,-15.577206422163352,-373.77518835616263,205.92421277352764,SL
BNB/USDT,sell,2020-03-08 00:00:00+00:00,2020-03-09 04:00:00+00:00,2020-03-09 04:00:00+00:00,20,20.27,17.203,2184.246082305036,300.1660088801186,395.5599407992107,RevLow
ZEC/USDT,sell,2020-03-07 20:00:00+00:00,2020-03-11 16:00:00+00:00,2020-03-11 16:00:00+00:00,50,51.05,38.287499999999994,25.55116239042808,1245.6250000000007,1250.0,HalfTP10%
ETH/USDT,sell,2020-03-08 04:00:00+00:00,2020-03-12 04:00:00+00:00,2020-03-12 04:00:00+00:00,100,231.86,173.895,28.657021464625352,2491.25,2500.0,HalfTP10%
BNB/USDT,sell,2020-03-11 08:00:00+00:00,2020-03-12 08:00:00+00:00,2020-03-12 08:00:00+00:00,50,16.666,12.499500000000001,174.39695379372412,1245.6249999999995,1250.0,HalfTP10%
ETH/USDT,sell,2020-03-08 04:00:00+00:00,2020-03-13 00:00:00+00:00,2020-03-13 00:00:00+00:00,100,231.86,215.6298,18.153568860772094,676.3499999999999,6367.204347451048,SL
ETH/USDT,sell,2020-03-21 12:00:00+00:00,2020-03-21 12:00:00+00:00,2020-03-21 12:00:00+00:00,100,130.47,133.52338999999998,-46.88393283865179,-244.14706024373163,54.41864030045282,SL
ETH/USDT,sell,2020-03-22 12:00:00+00:00,2020-03-23 00:00:00+00:00,2020-03-23 12:00:00+00:00,100,131.0,135.54540999999998,-46.039099762923364,-360.15135152671485,916.030534351145,SL
BNB/USDT,sell,2020-03-11 08:00:00+00:00,2020-03-13 00:00:00+00:00,2020-03-31 04:00:00+00:00,50,16.666,12.57,390.3759306764611,1194.9635785431415,3129.1251650065997,TrendExit
ZEC/USDT,sell,2020-03-07 20:00:00+00:00,2020-03-13 00:00:00+00:00,2020-04-01 20:00:00+00:00,50,51.05,31.3,90.59729707178002,1892.8452497551416,3343.780607247796,TrendExit
ZEC/USDT,buy,2020-04-02 00:00:00+00:00,2020-04-09 04:00:00+00:00,2020-04-09 04:00:00+00:00,50,31.3,39.125,76.56233517560369,1244.375,1250.0,HalfTP10%
ETH/USDT,buy,2020-04-08 04:00:00+00:00,2020-04-08 04:00:00+00:00,2020-04-10 00:00:00+00:00,100,172.24,162.98685,-51.157129740044,-551.9556099047842,136.43752902926116,SL
BNB/USDT,buy,2020-04-12 20:00:00+00:00,2020-04-12 20:00:00+00:00,2020-04-12 20:00:00+00:00,50,14.729,14.379606,-52.19668647902812,-123.54820524136014,19.349582456378705,SL
ETH/USDT,buy,2020-04-16 12:00:00+00:00,2020-04-29 16:00:00+00:00,2020-04-29 16:00:00+00:00,100,170.12,212.65,41.64221677721464,2488.7500000000005,2500.0,HalfTP10%
ZEC/USDT,buy,2020-04-02 00:00:00+00:00,2020-04-30 00:00:00+00:00,2020-05-06 20:00:00+00:00,50,31.3,42.27,243.26933608967857,1694.5199680511191,2833.865814696486,TrendExit
BNB/USDT,buy,2020-04-13 12:00:00+00:00,2020-04-30 00:00:00+00:00,2020-05-10 00:00:00+00:00,50,14.703,13.752234,-56.23904737159963,-367.66214956131415,1167.7888866217784,SL
ETH/USDT,buy,2020-04-16 12:00:00+00:00,2020-04-30 04:00:00+00:00,2020-05-10 00:00:00+00:00,100,170.12,182.0284,24.192224661912903,619.6499999999993,3372.913237714554,SL
ZEC/USDT,buy,2020-05-08 20:00:00+00:00,2020-05-09 00:00:00+00:00,2020-05-10 00:00:00+00:00,50,45.78,44.02593,-54.79062806135944,-197.98022771952827,197.6845784185236,SL
ETH/USDT,sell,2020-05-10 04:00:00+00:00,2020-05-11 16:00:00+00:00,2020-05-13 12:00:00+00:00,100,185.95,198.14,-24.900522897819624,-675.8803441785434,561.9790266200586,TrendExit
ETH/USDT,sell,2020-05-15 20:00:00+00:00,2020-05-15 20:00:00+00:00,2020-05-16 04:00:00+00:00,100,194.6,199.83963999999997,-53.7563057771969,-280.3864244604314,174.20349434737855,SL
ZEC/USDT,sell,2020-05-10 04:00:00+00:00,2020-05-11 16:00:00+00:00,2020-05-17 00:00:00+00:00,50,41.33,44.78,-44.26118529507164,-432.5810549237848,424.6310186305346,TrendExit
BNB/USDT,sell,2020-05-15 20:00:00+00:00,2020-05-15 20:00:00+00:00,2020-05-17 04:00:00+00:00,50,15.913,16.231215,-55.26138098102994,-107.03585354741303,116.57135675234099,SL
BNB/USDT,sell,2020-05-21 16:00:00+00:00,2020-05-21 16:00:00+00:00,2020-05-22 08:00:00+00:00,50,16.15,16.640623999999995,-51.69382301060281,-157.97192321981345,129.41176470588215,SL
BNB/USDT,buy,2020-05-22 16:00:00+00:00,2020-05-22 16:00:00+00:00,2020-05-23 08:00:00+00:00,50,16.694,16.501,-25.460700479142375,-63.77629687312799,68.88702527854332,TrendExit
